PUMFID;CERTLEVP;REG_INST;REG_RESP;PGMCIPAP;PGM_P034;PGM_P036;PGM_P100;PGM_P111;PGM_280A;PGM_280B;PGM_280C;PGM_280D;PGM_280E;PGM_280F;PGM_290;PGM_350;PGM_380;PGM_P401;PGM_410;PGM_415;PGM_430;COV_010;COV_070;COV_080;EDU_010;EDU_P020;HLOSINTP;STL_010;STL_020;STULOANS;STL_030;OWESLGD;OWEGVIN;STL_080;STL_100A;STL_100B;STL_100C;STL_100D;STL_130;STL_150;STL_160B;STL_160C;STL_160D;STL_160E;STL_160F;STL_160G;STL_160H;STL_160I;STL_160J;STL_160L;STLP160N;SRCFUND;STL_170A;STL_170B;STL_170C;STL_170D;STL_170E;STL_170F;STL_170G;STL_170H;STL_170I;STL_170J;STL_170L;STLP170N;RESPP;STL_190;DBTOTGRD;DBTALGRD;DBTOTINT;DBTALINT;SCHOLARP;LMA_010;LFSTATP;LMA2_07;LMA3_P01;LFCINDP;LFCOCCP;LFWFTPTP;LMA6_05;LMA6_08;JOBQLEVP;JOBQLGRD;JOBQLINT;LMA6_11;LMA6_12;LMA6_13A;LMA6_13B;LMA6_13C;JOBINCP;LMA6_15;AFT_P010;AFT_P020;AFT_P040;AFT_050;AFT_070;AFT_080;AFT_090;BEF_P140;BEF_160;PREVLEVP;HLOSGRDP;PAR1GRD;PAR1INT;PAR2GRD;PAR2INT;GRADAGEP;GENDER2;MS_P01;MS_P02;CTZSHIPP;VISBMINP;PERSINCP;DDIS_FL;WTPF;VERDATE
59113;3;2;2;4;2;4;1;2;2;2;2;2;2;1;2;1;1;1;1;3;1;2;1;1;2;6;3;1;1;1;96;0;0;6;6;6;6;6;6;2;2;1;2;2;1;2;1;2;1;2;1;3;2;6;1;6;6;2;6;1;6;2;6;9;6;2;6;0;6;0;6;2;1;2;1;4;2;1;1;2;3;2;2;1;2;1;2;1;5;1;6;6;6;6;6;6;6;1;6;2;3;3;3;3;3;3;2;1;1;1;2;5;2;10.4392;15MAY2024
59114;3;3;3;5;1;6;2;6;2;2;2;2;2;1;2;2;2;1;2;2;1;1;1;2;2;6;3;1;1;1;96;4;4;2;6;6;6;1;4;1;2;1;2;1;1;2;2;1;1;2;2;3;1;6;2;6;2;2;6;6;1;2;6;6;6;6;3;4;2;4;3;2;1;2;1;4;2;1;1;3;2;1;1;1;2;2;2;2;3;1;6;6;6;6;6;6;6;3;5;2;3;1;1;1;1;1;1;1;2;1;2;4;2;19.4715;15MAY2024
59116;3;2;2;6;1;6;2;6;2;2;2;2;2;1;2;2;2;1;2;3;2;6;1;2;1;1;3;1;1;1;96;0;2;6;6;6;6;6;6;2;1;1;1;1;1;1;1;2;2;2;2;3;2;2;2;2;1;2;2;1;6;6;6;6;3;2;6;0;6;2;2;1;3;6;6;96;96;6;6;96;6;6;6;6;6;6;6;6;96;6;2;2;1;2;1;6;3;1;2;2;3;3;3;2;2;2;1;2;2;1;2;1;2;10.569;15MAY2024
59117;2;4;4;9;1;6;1;2;2;2;2;2;2;1;1;1;2;3;2;3;2;6;1;1;2;6;2;1;1;1;96;2;1;2;6;6;6;1;1;2;2;2;2;1;1;2;2;2;2;2;2;3;2;6;6;6;1;1;6;6;6;6;6;6;6;6;6;2;6;1;4;2;1;2;1;7;4;1;1;2;2;2;2;1;2;3;4;1;4;1;6;6;6;6;6;6;6;1;2;6;2;1;1;1;1;1;2;1;2;1;2;3;2;10.7512;15MAY2024
59118;2;3;3;1;1;6;1;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;3;1;1;1;2;1;1;1;96;4;4;2;6;6;6;1;5;2;2;1;2;1;1;2;1;2;2;2;2;3;1;6;1;6;2;2;6;2;6;6;6;6;6;2;6;4;6;4;1;1;1;2;1;5;5;2;2;8;2;2;2;1;2;2;2;5;99;2;1;4;1;2;2;2;1;1;6;2;2;1;1;1;1;4;1;1;1;2;1;3;2;60.3918;15MAY2024
59124;2;3;3;6;2;4;2;6;2;2;2;2;2;1;1;1;2;1;3;3;1;2;2;2;2;6;2;1;1;1;96;4;4;2;6;6;6;1;5;2;1;2;2;1;2;2;2;2;2;2;2;3;1;1;6;6;2;6;6;6;6;6;6;6;2;6;6;4;6;4;1;2;1;2;1;7;2;1;1;1;2;2;2;2;1;4;4;2;2;1;6;6;6;6;6;6;6;3;4;6;2;2;2;1;1;1;2;1;2;1;1;1;1;163.5169;15MAY2024
59125;1;2;2;2;1;6;2;6;2;2;2;2;2;1;2;2;2;1;2;2;1;2;1;1;2;6;1;2;6;2;1;6;6;6;6;6;6;6;6;6;1;2;2;2;1;2;1;2;2;2;2;3;2;1;6;6;6;2;6;1;6;6;6;6;9;2;6;6;6;6;6;2;1;2;2;6;10;1;6;96;6;6;6;1;6;6;6;6;96;6;1;2;1;2;1;6;3;3;1;6;1;3;3;2;2;1;2;2;2;1;2;1;1;36.2626;15MAY2024
59126;1;2;2;9;1;6;1;2;2;2;2;2;2;1;1;2;2;1;2;3;1;2;1;2;2;6;1;2;6;2;2;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;2;1;2;1;7;4;1;1;2;1;2;2;1;2;2;2;1;4;2;1;2;1;1;1;6;1;3;6;6;1;2;2;1;1;2;2;1;2;1;2;4;2;26.3486;15MAY2024
59127;2;4;4;8;1;6;2;6;2;2;2;2;2;1;2;1;2;1;2;1;1;2;1;1;2;6;2;2;6;2;2;6;6;6;6;6;6;6;6;6;2;2;2;2;2;2;1;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;2;6;6;6;6;6;2;1;2;1;2;3;1;1;7;2;2;2;1;2;1;2;2;3;2;1;3;1;1;1;6;1;3;1;6;2;2;2;2;2;1;1;2;2;9;1;1;2;15.9058;15MAY2024
59129;1;3;3;2;1;6;2;6;2;2;2;2;2;1;2;2;2;3;2;6;1;2;1;1;1;1;1;2;6;2;4;6;6;6;6;6;6;6;6;6;2;2;2;2;1;2;2;2;2;2;2;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;1;2;1;1;3;1;1;1;1;1;2;2;1;1;2;2;3;2;1;2;1;1;1;6;2;1;6;2;2;3;3;3;3;4;2;1;2;9;1;1;2;169.7971;15MAY2024
